Title,Accession,Organism,Summary,Overall_design,PubmedID,Journal
RNA-seq from ENCODE/Stanford/Yale,GSE39619,Mus musculus,This data was generated by ENCODE. If you have questions about the data， contact the submitting laboratory directly (Philip Caytingmailto:pcayting@stanford.edu). If you have questions about the Genome Browser track associated with this data， contact ENCODE (mailto:genome@soe.ucsc.edu).The tracks show enrichment of RNA sequence tags mapped to the mouse genome generated by high throughput sequencing (RNA-Seq). Double stranded cDNA was synthesized from enriched RNA that was obtained after depletion of ribosomal RNA. Pieces of cDNA， 300-350 nucleotides in length， were PCR amplified， adapter ligated， and sequenced on an Illumina HiSeq sequencer.For data usage terms and conditions， please refer tohttp://www.genome.gov/27528022andhttp://www.genome.gov/Pages/Research/ENCODE/ENCODEDataReleasePolicyFinal2008.pdf,Cells were grown according to the approved ENCODE cell culture protocols (http://hgwdev.cse.ucsc.edu/ENCODE/protocols/cell). Total RNA was extracted using RNeasy Mini Kit (74104， Aiagen)， following the manufacturer's protocol. Ribosomal RNA was removed from total RNA using the Ribo-ZeroTM Gold Kits (MRZG126， Epicentre). Double-stranded cDNA synthesis was performed on the rRNA depleted RNA using random primers and the SuperScript double-stranded cDNA synthesis kit (11917-010， Life Tech). After first strand cDNA synthesis， NucAway Spin Column (Ambion cat. 100070-30) was used to remove dNTPs. In the second strand cDNA synthesis reaction， dTTP in the dNTP mix was substituted with dUTP. After end repair and addition of 'A' base to 3' end， illumina paired-end adapter was ligated to Double-stranded cDNA library. After gel size selection of adapter ligated cDNA (300-350)， Uracil-N-Glycosylase (UNG: Applied Biosystems) was used to digest the second strand cDNA (Parkhomchuk et al. ， 2009). PCR amplified adapter ligated cDNA was sequenced using Illumina HiSeq. Sequence reads of 2x101 nt long with 0-2 mismatches were mapped to the mouse genome (version mm9) using the BWA aligner， version 0.5.7. The signal height corresponds to the number of overlapping fragments at each nucleotide position in the genome.,nan,
Therapeutic use of microRNA-181a in the adoptive immunotherapy of cancer,GSE9240,Homo sapiens;Mus musculus,The generation of highly-reactive T lymphocytes against tumor-associated antigens remains an obstacle for effective adoptive immunotherapy of cancer. Recently， we found that microRNA-181a (miR-181a) acts as an intrinsic modulator of T cell antigen sensitivity in a transgenic T cell line in vitro. This molecule is part of a growing family of evolutionarily selected small interfering RNA that control gene expression at the posttranscriptional level by targeting messenger RNA (mRNA) for degradation or translational repression. Here， we explored the use of miR-181a to improve anti-tumor T cell responsiveness against weakly immunogenic tumor-associated antigens. We found that genetic engineering of T lymphocytes with miR-181a dramatically augmented the function of poorly responsive human tumor-infiltrating lymphocytes and TCR-engineered peripheral blood lymphocytes， resulting in potent anti-tumor reactivity. Furthermore， in a mouse model， miR-181a increased the function of self/tumor-specific CD8+ T cells enabling effective tumor destruction in the absence of vaccination or exogenous cytokines that were otherwise essential requirements and thus represents a significant advance over previous approaches. Although miRNAs have been previously shown to play critical functional roles in the development and function of vertebrate immune systems and pathogenesis of cancer， this report comprises the first use of a miRNA gene as tool in the treatment of disease.Keywords: cellular modification design,For the 6 mouse samples the Operon Array-Ready Oligo Set (AROSâ¢) V 4.0 contains 35，852 longmer probes representing 25，000 genes and about 38，000 gene transcripts and also includes 380 controls platform was used and each sample was hybridized in duplicate. For the 6 human samples， the human cDNA microarray platform was used which consist of 17 k cDNA array included a combination from a RG_HsKG_031901 7 k clone set and 10，000 clones from the RG_Hs_seq_ver_070700 40 k clone set (Research Genetics， Huntsville， AL). The cDNA clones include 12，072 uniquely named genes， 875 duplicates of named genes.,nan,
Two replicates of mRNA from Arabidopsis thaliana leaves 24 hours post infection with Botrytis cinerea,GSE34521,Arabidopsis thaliana,Two samples from a larger study of the effect of Botrytis cinerea infection on gene expression in Arabidopsis thaliana. These two samples also form part of an investigation of the sequence dependancy of DNA and RNA fragmentation within ChIP-seq and RNA-seq experiments,Two technical replicates from the 24 time point of a time series,nan,
Lai_CMEW1_Cl_8,GSE24307,Drosophila melanogaster,modENCODE_submission_2721This submission comes from a modENCODE project of Eric Lai. For full list of modENCODE projects， seehttp://www.genome.gov/26524648Project Goal: We plan to generate a comprehensive catalog of expressed and functional microRNAs， and generate biological evidence for their regulatory activity. We plan also to delineate the primary transcription units of microRNA genes. Finally， we plan to annotate other classes of non-miRNA expressed small RNAs， as least some of which may define novel classes of small RNA genes.For data usage terms and conditions， please refer tohttp://www.genome.gov/27528022andhttp://www.genome.gov/Pages/Research/ENCODE/ENCODEDataReleasePolicyFinal2008.pdfKeywords: RNA-seq,EXPERIMENT TYPE: RNA-seq. BIOLOGICAL SOURCE: Cell Line: CME-W1-Cl.8+; Tissue: dorsal mesothoracic disc; Developmental Stage: third instar larval stage; Sex: Male;  EXPERIMENTAL FACTORS: Cell Line CME-W1-Cl.8+,nan,
DNA methylome patterns of zebrafish cells under cold pressure,GSE71567,Danio rerio,In this study， MeDIP-seq and RNA-seq were performed to reveal a genome-wide methylation profile of zebrafish (Danio rerio) embryonic fibroblast cell line (ZF4) and its variation under cold environment.This study puts a new insight into the genome-wide epigenetic regulation under cold environment.,ZF4 cells were cultured at 28 Â°C as control and at 18 Â°C for 5 days and 30 days， seperately. Each condition has three biological replica.,nan,
ENCODE Genome Institute of Singapore RNA-Seq,GSE27221,Homo sapiens,This data was generated by ENCODE. If you have questions about the data， contact the submitting laboratory directly (Ruan Xiaoanmailto:ruanx@gis.a-star.edu.sg). If you have questions about the Genome Browser track associated with this data， contact ENCODE (mailto:genome@soe.ucsc.edu).This track is produced as part of the ENCODE Project. It shows high throughput sequencing of RNA samples from tissues or sub cellular compartments from cell lines included in the ENCODE Transcriptome subproject.For data usage terms and conditions， please refer tohttp://www.genome.gov/27528022andhttp://www.genome.gov/Pages/Research/ENCODE/ENCODEDataReleasePolicyFinal2008.pdf,The RNA-Seq data were generated from high quality polyA RNA， and the RNA-Seq libraries were constructed using SOLiD Whole Transcriptome (WT) protocol and reagent kit. Total RNA in good quality was used as starting materials and purified twice through MACs polyT column aimed to enrich polyA and remove any contaminants (e.g.， rRNA， tRNA， DNA， protein etc.). A one microgram enriched polyA RNA sample was then fragmented to small pieces， and a gel-based selection method was performed to collect fragmented random polyA at a size-range of 50-150 nt in length. The collected fragmental RNA was then hybridized and ligated to a mix of adapters provided from ABI， followed by reverse transcription to generate corresponding cDNAs. The resulting cDNA library was further amplified by PCR and sequenced by SOLiD platform for single reads at 35 bp length (new version in 50 bp length). Cells were grown according to the approved ENCODE cell culture protocols. Data: The SOLiD-generated RNA-Seq reads were 35 bp in length. An initial filtering process was performed to remove any non-desirable contamination sequences， such as rRNA， tRNA， and repeats etc. A read-split mapping approach was developed to map the 35 bp reads onto the reference genome (GRCh37/hg19) excluding mitochondrion， haplotypes， randoms and chromosome Y. Mapping parameters: Strand specific mapping was done using Applied Biosystems' SOLiD alignment where all the reads were mapped to the genome， and to exon-exon junction database. Seed and extend strategy is adopted where initial seed length of 25 is mapped with maximum of 2 mismatches and then extended to read length， each color space match is awarded a score of +1 and each mismatch is awarded a penalty of -2. After extension each read is trimmed to its maximum score， shortest length. The color space sequences are then converted into base space and checked to ensure that each sequence has a maximum of 2 base pair mismatches. If any sequence has more than 2 mismatches， then that sequence is discarded.,nan,
RNA-Seq and BS-Seq of Sorghum bicolor tissues,GSE50464,Sorghum bicolor,This study utilized next generation sequencing technology (RNA-Seq and BS-Seq) to examine the transcriptome and methylome of various tissues within sorghum plants with the ultimate goal of improving the Sorghum bicolor annotation,We examined the mRNA of various Sorghum bicolor (BTx623) tissues (flowers， vegitative and floral meristems， embryos， roots and shoots) and bisulfite treated DNA from two root samples,nan,
Study of gene expression in Chromolaena odorata cuttings using a combination of RNA-seq and digital gene expression analysis,GSE42283,Chromolaena odorata,4，392 differentially expressed genes were generated by DGE analysis， and 3，074 had good comparability with known gene sequences in existing species. 1，152 differentially expressed sequences were mapped to the reference canonical pathways in the KEGG database， and were assigned to 110 KEGG pathways， 11 pathways less then with the transcriptome database. Differentially expressed genes were classed according to their function， which includes phytohormones， growth and developmental processes， defense， peroxidase and P450-related genes. Pathway analysis also revealed that the principal secondary metabolites in the C. odorata cuttings were phytohormones and flavonoids.,Examination of 2 different stage of adventitious root formation,nan,
The Sin3a/HDAC co-repressor complex cooperates with Nanog in promoting stem cell pluripotency and somatic cell reprogramming [ChIP-Seq],GSE91021,Mus musculus,Despite the requirement of Sin3a for survival of early embryos and embryonic stem cells (ESCs)， mechanistic action of Sin3a in the maintenance and establishment of pluripotency remains unexplored. Here we report the transcriptional regulatory roles of Sin3a in maintaining ESC pluripotency and in reprogramming somatic cells towards full pluripotency. Sin3a/HDAC complex members were enriched in an extended Nanog interactome and exhibited a predominant transcriptional co-activator role at a global level in ESCs. We also established a critical role for Sin3a in efficient reprogramming of somatic cells towards full pluripotency. Nanog and Sin3a co-localize at almost all of their genome-wide targets in pre-iPSCs， and both factors are required to directly induce a synergistic transcriptional program wherein pluripotency genes are activated and reprogramming barrier genes are repressed. Our results， for the first time， establish positive roles of the Sin3a/HDAC complex in the maintenance and establishment of pluripotency.,Genome binding/occupancy profiling of Nanog and Sin3a in pre-iPSCs for somatic cell reprogramming,28199843,Cell Rep
Gene expression profiling in Ciona TVCs with FGF-MAPK perturbation [bulk RNA-seq],GSE99845,Ciona robusta,Dynamic gene expression programs determine multipotent cell states and fate choices during development. Multipotent progenitors for cardiomyocytes and branchiomeric head muscles populate the pharyngeal mesoderm of vertebrate embryos， but the mechanisms underlying cardiopharyngeal multipotency and heart vs. head muscle fate choices remain elusive. The tunicate Ciona emerged as a simple chordate model to study cardiopharyngeal development with unprecedented spatio-temporal resolution. We analyzed the transcriptome of single cardiopharyngeal lineage cells isolated at successive time points encompassing the transitions from multipotent progenitors to distinct first and second heart， and pharyngeal muscle precursors. We reconstructed the three cardiopharyngeal developmental trajectories， and characterized gene expression dynamics and regulatory states underlying each fate choice. Experimental perturbations and bulk transcriptome analyses revealed that ongoing FGF/MAPK signaling maintains cardiopharyngeal multipotency and promotes the pharyngeal muscle fate， whereas signal termination permits the deployment of a full pan-cardiac program and heart fate specification. We identified the Dach1/2 homolog as a novel evolutionarily conserved second-heart-field-specific factor and demonstrate， through lineage tracing and CRISPR/Cas9 perturbations，  that it operates downstream of Tbx1/10 to actively suppress the first heart lineage program. This data indicates that the regulatory state of multipotent cardiopharyngeal progenitors determines the first vs. second heart lineage choice， and that Tbx1/10 acts as a bona fide regulator of cardiopharyngeal multi potency.We performed bulk RNAseq to profile the FACS purified Ciona Robusta Truck Ventral Cells (TVCs) with FGF-MAPK perturbation conditions to address the question- What is the role of FGF signaling pathway during early cardiopharyngeal specification.  we performed bulk RNA sequencing of FACS-purified cardiopharyngeal lineage cells isolated from embryos and larvae expressing either a dominant negative form the fibroblast growth factor receptor (dnFGFR)， or a constitutively active form of M-Ras (caM-Ras)， the sole Ras homolog in Ciona， under the control of TVC-specific enhancers.,Examination of 2 different FGF-MAPK perturbation conditions in TVCs from 4 time points.,nan,
