Title,Journal,PubDate,PubmedID,Url,Abstract
A Next Generation Connectivity Map: L1000 Platform and the First 1，000，000 Profiles.,Cell, 2017 Nov 30,29195078,https://pubmed.ncbi.nlm.nih.gov/29195078/,We previously piloted the concept of a Connectivity Map (CMap)， whereby genes， drugs， and disease states are connected by virtue of common gene-expression signatures. Here， we report more than a 1，000-fold scale-up of the CMap as part of the NIH LINCS Consortium， made possible by a new， low-cost， high-throughput reduced representation expression profiling method that we term L1000. We show that L1000 is highly reproducible， comparable to RNA sequencing， and suitable for computational inference of the expression levels of 81% of non-measured transcripts. We further show that the expanded CMap can be used to discover mechanism of action of small molecules， functionally annotate genetic variants of disease genes， and inform clinical trials. The 1.3 million L1000 profiles described here， as well as tools for their analysis， are available at https://clue.io.Keywords:Functional genomics; chemical biology; gene expression profiling.
A transcriptomic atlas of drug-induced endothelial dysfunction in human endothelial cells.,J Mol Cell Cardiol, 2022 Dec,36327770,https://pubmed.ncbi.nlm.nih.gov/36327770/,No abstract availableKeywords:Chemotherapy; Drug safety; Endothelial cells; Endothelial dysfunction; Vascular injury; Vascular toxicity; iPSCs.
Transcriptome-wide gene expression outlier analysis pinpoints therapeutic vulnerabilities in colorectal cancer.,Mol Oncol, 2024 Jun,38468448,https://pubmed.ncbi.nlm.nih.gov/38468448/,Multiple strategies are continuously being explored to expand the drug target repertoire in solid tumors. We devised a novel computational workflow for transcriptome-wide gene expression outlier analysis that allows the systematic identification of both overexpression and underexpression events in cancer cells. Here， it was applied to expression values obtained through RNA sequencing in 226 colorectal cancer (CRC) cell lines that were also characterized by whole-exome sequencing and microarray-based DNA methylation profiling. We found cell models displaying an abnormally high or low expression level for 3533 and 965 genes， respectively. Gene expression abnormalities that have been previously associated with clinically relevant features of CRC cell lines were confirmed. Moreover， by integrating multi-omics data， we identified both genetic and epigenetic alternations underlying outlier expression values. Importantly， our atlas of CRC gene expression outliers can guide the discovery of novel drug targets and biomarkers. As a proof of concept， we found that CRC cell lines lacking expression of the MTAP gene are sensitive to treatment with a PRMT5-MTA inhibitor (MRTX1719). Finally， other tumor types may also benefit from this approach.Keywords:biomarkers; colorectal cancer; drug targets; gene expression outliers.
Genomic and Transcriptomic Determinants of Therapy Resistance and Immune Landscape Evolution during Anti-EGFR Treatment in Colorectal Cancer.,Cancer Cell, 2019 Jul 8,31287991,https://pubmed.ncbi.nlm.nih.gov/31287991/,Despite biomarker stratification， the anti-EGFR antibody cetuximab is only effective against a subgroup of colorectal cancers (CRCs). This genomic and transcriptomic analysis of the cetuximab resistance landscape in 35 RAS wild-type CRCs identified associations of NF1 and non-canonical RAS/RAF aberrations with primary resistance and validated transcriptomic CRC subtypes as non-genetic predictors of benefit. Sixty-four percent of biopsies with acquired resistance harbored no genetic resistance drivers. Most of these had switched from a cetuximab-sensitive transcriptomic subtype at baseline to a fibroblast- and growth factor-rich subtype at progression. Fibroblast-supernatant conferred cetuximab resistance in vitro， confirming a major role for non-genetic resistance through stromal remodeling. Cetuximab treatment increased cytotoxic immune infiltrates and PD-L1 and LAG3 immune checkpoint expression， potentially providing opportunities to treat cetuximab-resistant CRCs with immunotherapy.Keywords:EGFR; cancer evolution; cancer genomics; cancer-associated fibroblasts; cetuximab; colorectal cancer; drug resistance mechanisms; immunotherapy; molecular subtype; predictive biomarker.
Microarrays: retracing steps.,Nat Med, 2007 Nov,17987014,https://pubmed.ncbi.nlm.nih.gov/17987014/,
Cancer cells， chemotherapy and gene clusters.,Nat Genet, 2000 Mar,10700165,https://pubmed.ncbi.nlm.nih.gov/10700165/,
Mapping the landscape of genetic dependencies in chordoma.,Nat Commun, 2023 Apr 6,37024492,https://pubmed.ncbi.nlm.nih.gov/37024492/,Identifying the spectrum of genes required for cancer cell survival can reveal essential cancer circuitry and therapeutic targets， but such a map remains incomplete for many cancer types. We apply genome-scale CRISPR-Cas9 loss-of-function screens to map the landscape of selectively essential genes in chordoma， a bone cancer with few validated targets. This approach confirms a known chordoma dependency， TBXT (T; brachyury)， and identifies a range of additional dependencies， including PTPN11， ADAR， PRKRA， LUC7L2， SRRM2， SLC2A1， SLC7A5， FANCM， and THAP1. CDK6， SOX9， and EGFR， genes previously implicated in chordoma biology， are also recovered. We find genomic and transcriptomic features that predict specific dependencies， including interferon-stimulated gene expression， which correlates with ADAR dependence and is elevated in chordoma. Validating the therapeutic relevance of dependencies， small-molecule inhibitors of SHP2， encoded by PTPN11， have potent preclinical efficacy against chordoma. Our results generate an emerging map of chordoma dependencies to enable biological and therapeutic hypotheses.
A comprehensive landscape analysis of autophagy in cancer development and drug resistance.,Front Immunol, 2024 Aug 26,39253092,https://pubmed.ncbi.nlm.nih.gov/39253092/,"Background:Autophagy plays important roles in cancer progression and therapeutic resistance， and the autophagy underlying the tumor pathogenesis and further mechanisms of chemoresistance emergence remains unknown.Methods:In this study， via the single-sample gene set enrichment analysis (ssGSEA) method， an autophagy 45-gene list was identified to evaluate samples' autophagy activity， verified through six GEO datasets with a confirmed autophagy phenotype. It was further utilized to distinguish tumors into autophagy score-high and score-low subtypes， and analyze their transcriptome landscapes， including survival analysis， correlation analysis of autophagy- and resistance-related genes， biological functional enrichment， and immune- and hypoxia-related and genomic heterogeneity comparison， in TCGA pan-cancer datasets. Furthermore， we performed an analysis of autophagy status in breast cancer chemoresistance combined with multiple GEO datasets andin vitroexperiments to validate the mechanisms of potential anticancer drugs for reversing chemoresistance， including CCK-8 cell viability assays， RT-qPCR， and immunofluorescence.Results:The 45-gene list was used to identify autophagy score-high and score-low subtypes and further analyze their multi-dimensional features. We demonstrated that cancer autophagy status correlated with significantly different prognoses， molecular alterations， biological process activations， immunocyte infiltrations， hypoxia statuses， and specific mutational processes. The autophagy score-low subtype displayed a more favorable prognosis compared with the score-high subtype， associated with their immune-activated features， manifested as high immunocyte infiltration， including high CD8+T， Tfh， Treg， NK cells， and tumor-associated macrophages M1/M2. The autophagy score-low subtype also showed a high hypoxia score， and hypoxic tumors showed a significantly differential prognosis in different autophagy statuses. Therefore， ""double-edged"" cell fates triggered by autophagy might be closely correlated with the immune microenvironment and hypoxia induction. Results demonstrated that dysregulated autophagy was involved in many cancers and their therapeutic resistance and that the autophagy was induced by the resistance-reversing drug response， in five breast cancer GEO datasets and validated byin vitroexperiments.In vitro， dihydroartemisinin and artesunate could reverse breast cancer doxorubicin resistance， through inducing autophagy via upregulating LC3B and ATG7.Conclusion:Our study provided a comprehensive landscape of the autophagy-related molecular and tumor microenvironment patterns for cancer progression and resistance， and highlighted the promising potential of drug-induced autophagy in the activation of drug sensitivity and reversal of resistance.Keywords:breast cancer; doxorubicin resistance; immune microenvironment; pan-cancer; tumor resistance."
Comprehensive transcriptome profiling of BET inhibitor-treated HepG2 cells.,PLoS One, 2022 Apr 29,35486664,https://pubmed.ncbi.nlm.nih.gov/35486664/,Hepatocellular carcinoma (HCC) is the most common primary liver cancer and poor prognosis. Emerging evidence suggests that epigenetic alterations play a crucial role in HCC， suggesting epigenetic inhibition as a promising therapeutic approach. Indeed， the bromodomain and extra-terminal (BET) inhibitors inhibit the proliferation and invasion of various cancers but still lack a strong mechanistic rationale. Here， we identified the differentially expressed mRNAs (DEmRNAs) and lncRNAs (DElncRNAs) in human HCC cell line HepG2 treated with the BET inhibitors， JQ1， OTX015， or ABBV-075. We analyzed the correlation between DEmRNAs and DElncRNAs in common for the three inhibitors based on their expression profiles and performed functional annotation pathway enrichment analysis. Most of these shared DEmRNAs and DElncRNAs， including some novel transcripts， were downregulated， indicating decreased proliferation/adhesion and increased apoptosis/inflammation. Our study suggests that BET proteins play a crucial role in regulating cancer progression-related genes and provide a valuable resource for novel putative biomarkers and therapeutic targets in HCC.
Maximizing the Utility of Cancer Transcriptomic Data.,Trends Cancer, 2018 Dec,30470304,https://pubmed.ncbi.nlm.nih.gov/30470304/,Transcriptomic profiling has been applied to large numbers of cancer samples， by large-scale consortia， including The Cancer Genome Atlas， International Cancer Genome Consortium， and Cancer Cell Line Encyclopedia. Advances in mining cancer transcriptomic data enable us to understand the endless complexity of the cancer transcriptome and thereby to discover new biomarkers and therapeutic targets. In this paper， we review computational resources for deep mining of transcriptomic data to identify， quantify， and determine the functional effects and clinical utility of transcriptomic events， including noncoding RNAs， post-transcriptional regulation， exogenous RNAs， and transcribed genetic variants. These approaches can be applied to other complex diseases， thereby greatly leveraging the impact of this work.Keywords:cancer transcriptome; exogenous RNA; noncoding RNA; post-transcriptional regulation; transcribed genetic variant.
