Title,Journal,PubDate,PubmedID,Url,Abstract
A Next Generation Connectivity Map: L1000 Platform and the First 1，000，000 Profiles.,Cell, 2017 Nov 30,29195078,https://pubmed.ncbi.nlm.nih.gov/29195078/,We previously piloted the concept of a Connectivity Map (CMap)， whereby genes， drugs， and disease states are connected by virtue of common gene-expression signatures. Here， we report more than a 1，000-fold scale-up of the CMap as part of the NIH LINCS Consortium， made possible by a new， low-cost， high-throughput reduced representation expression profiling method that we term L1000. We show that L1000 is highly reproducible， comparable to RNA sequencing， and suitable for computational inference of the expression levels of 81% of non-measured transcripts. We further show that the expanded CMap can be used to discover mechanism of action of small molecules， functionally annotate genetic variants of disease genes， and inform clinical trials. The 1.3 million L1000 profiles described here， as well as tools for their analysis， are available at https://clue.io.Keywords:Functional genomics; chemical biology; gene expression profiling.
Comprehensive molecular characterization of pediatric radiation-induced high-grade glioma.,Nat Commun, 2021 Sep 20,34545084,https://pubmed.ncbi.nlm.nih.gov/34545084/,Radiation-induced high-grade gliomas (RIGs) are an incurable late complication of cranial radiation therapy. We performed DNA methylation profiling， RNA-seq， and DNA sequencing on 32 RIG tumors and an in vitro drug screen in two RIG cell lines. We report that based on DNA methylation， RIGs cluster primarily with the pediatric receptor tyrosine kinase I high-grade glioma subtype. Common copy-number alterations include Chromosome (Ch.) 1p loss/1q gain， and Ch. 13q and Ch. 14q loss; focal alterations include PDGFRA and CDK4 gain and CDKN2A and BCOR loss. Transcriptomically， RIGs comprise a stem-like subgroup with lesser mutation burden and Ch. 1p loss and a pro-inflammatory subgroup with greater mutation burden and depleted DNA repair gene expression. Chromothripsis in several RIG samples is associated with extrachromosomal circular DNA-mediated amplification of PDGFRA and CDK4. Drug screening suggests microtubule inhibitors/stabilizers， DNA-damaging agents， MEK inhibition， and， in the inflammatory subgroup， proteasome inhibitors， as potentially effective therapies.
Identification of potential synthetic lethal genes to p53 using a computational biology approach.,BMC Med Genomics, 2013 Sep 11,24025726,https://pubmed.ncbi.nlm.nih.gov/24025726/,Background:Identification of genes that are synthetic lethal to p53 is an important strategy for anticancer therapy as p53 mutations have been reported to occur in more than half of all human cancer cases. Although genome-wide RNAi screening is an effective approach to finding synthetic lethal genes， it is costly and labor-intensive.Methods:To illustrate this approach， we identified potentially druggable genes synthetically lethal for p53 using three microarray datasets for gene expression profiles of the NCI-60 cancer cell lines， one next-generation sequencing (RNA-Seq) dataset from the Cancer Genome Atlas (TCGA) project， and one gene expression data from the Cancer Cell Line Encyclopedia (CCLE) project. We selected the genes which encoded kinases and had significantly higher expression in the tumors with functional p53 mutations (somatic mutations) than in the tumors without functional p53 mutations as the candidates of druggable synthetic lethal genes for p53. We identified important regulatory networks and functional categories pertinent to these genes， and performed an extensive survey of literature to find experimental evidence that support the synthetic lethality relationships between the genes identified and p53. We also examined the drug sensitivity difference between NCI-60 cell lines with functional p53 mutations and NCI-60 cell lines without functional p53 mutations for the compounds that target the kinases encoded by the genes identified.Results:Our results indicated that some of the candidate genes we identified had been experimentally verified to be synthetic lethal for p53 and promising targets for anticancer therapy while some other genes were putative targets for development of cancer therapeutic agents.Conclusions:Our study indicated that pre-screening of potential synthetic lethal genes using gene expression profiles is a promising approach for improving the efficiency of synthetic lethal RNAi screening.
Comprehensive transcriptomic analysis identifies cholesterol transport pathway as a therapeutic target of porcine epidemic diarrhea coronavirus.,Virus Res, 2024 Dec,39580000,https://pubmed.ncbi.nlm.nih.gov/39580000/,Porcine epidemic diarrhea virus (PEDV) is a highly contagious virus that poses a serious threat to the global pig industry. Despite extensive efforts， the mechanism underlying virus entry for PEDV remains elusive. In this study， we first identified PEDV-susceptible and non-susceptible cell lines by using PEDV spike pseudotyped vesicular stomatitis virus. Subsequently， we conducted a comprehensive transcriptomic analysis on these cell lines. Through integrating differential expression gene analysis with weighted gene co-expression network analysis， we identified the key pathways that are correlated with the PEDV entry. Our analysis revealed a strong correlation between cholesterol， sterols， and lipid transport with PEDV entry， suggesting a potential role for cholesterol transport in the PEDV entry. For further investigation， we treated Huh7， Vero and LLC-PK1 cells with a cholesterol transport inhibitor， ezetimibe， and observed a significant inhibition of PEDV entry and subsequent viral replication in these cells. Interestingly， pre-treating Huh7 cells with ezetimibe resulted in an increase in the entry of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and Middle East respiratory syndrome coronavirus (MERS-CoV) pseudoviruses. Moreover， we found that cholesterol could facilitate the entry of PEDV into Huh7 and Vero cells， and this promoting effect can be blocked by ezetimibe. These findings suggest that targeting cholesterol transport specifically inhibits PEDV entry into susceptible cells. Our study offers novel insights into the mechanism of PEDV entry and the development of new therapeutic strategies against this economically important virus.Keywords:Cholesterol transport; Coronavirus; Ezetimibe; PEDV; Viral entry.
Transcriptomic evidence of black soybean ethanolic extract and 2-aminobutyric acid in suppressing neuroinflammation and enhancing synaptic transmission.,Biomed Pharmacother, 2024 Dec,39488055,https://pubmed.ncbi.nlm.nih.gov/39488055/,Introduction:Recently， the awareness of the beneficial utilization of natural bioactive compounds in treating neuroinflammation has gained particular attention. We aimed to understand the anti-neuroinflammatory effect of black soybeans (Glycine max (L.) Merr) ethanolic extract (BBEE) and its bioactive compound， 2-aminobutyric acid (2-AB)， against LPS-induced SH-SY5Y cells.Method:Cell viability and the optimum therapeutic dose were confirmed by MTT assay. We conducted a whole-transcriptomic analysis of BBEE and 2-AB in LPS-induced SH-SY5Y cells using microarray normalized with SST-RMA. DEGs were selected based on p-value < 0.05 and fold change > 2， and validated by RT-qPCR and immunocytochemical analyses.Results:We found that both BBEE and 2-AB down-regulated the expression of inflammatory cytokines IL6 and TNFA under LPS-induced conditions. This was also observed in the microarray data， showing downregulation of several inflammatory pathways， such as NF-kB， and IL6-JAK/STAT3-signaling pathways. In contrast， it upregulated the expression of CALML3， GRIN2， and GRIA2 gene expressions， which influence the AMPK and CAMK2 signaling pathways， indicating the potential of BBEE in neurotransmission and synaptic function. Also， immunofluorescence analysis revealed that 2-AB treatment significantly increased PSD-95 and Ca2+levels， suggesting its effect on synaptic transmission essential for brain function.Conclusion:Our findings suggest the potential anti-neuroinflammatory effects of BBEE and 2-AB， which may offer therapeutic and preventive benefits in mitigating neurological disorders. Given that BB is widely consumed in many Asian countries， our study may encourage its incorporation into the daily diet to slow inflammation-induced neurodegenerative disorders， reduce age-related cognitive decline， and enhance overall brain function.Keywords:Black soybean; Neuroinflammation; Proinflammatory cytokine; Synaptic transmission; Transcriptomics.
Deep representation learning of chemical-induced transcriptional profile for phenotype-based drug discovery.,Nat Commun, 2024 Jun 25,38918369,https://pubmed.ncbi.nlm.nih.gov/38918369/,ificial intelligence transforms drug discovery， with phenotype-based approaches emerging as a promising alternative to target-based methods， overcoming limitations like lack of well-defined targets. While chemical-induced transcriptional profiles offer a comprehensive view of drug mechanisms， inherent noise often obscures the true signal， hindering their potential for meaningful insights. Here， we highlight the development of TranSiGen， a deep generative model employing self-supervised representation learning. TranSiGen analyzes basal cell gene expression and molecular structures to reconstruct chemical-induced transcriptional profiles with high accuracy. By capturing both cellular and compound information， TranSiGen-derived representations demonstrate efficacy in diverse downstream tasks like ligand-based virtual screening， drug response prediction， and phenotype-based drug repurposing. Notably， in vitro validation of TranSiGen's application in pancreatic cancer drug discovery highlights its potential for identifying effective compounds. We envisage that integrating TranSiGen into the drug discovery and mechanism research holds significant promise for advancing biomedicine.
Mapping the landscape of genetic dependencies in chordoma.,Nat Commun, 2023 Apr 6,37024492,https://pubmed.ncbi.nlm.nih.gov/37024492/,Identifying the spectrum of genes required for cancer cell survival can reveal essential cancer circuitry and therapeutic targets， but such a map remains incomplete for many cancer types. We apply genome-scale CRISPR-Cas9 loss-of-function screens to map the landscape of selectively essential genes in chordoma， a bone cancer with few validated targets. This approach confirms a known chordoma dependency， TBXT (T; brachyury)， and identifies a range of additional dependencies， including PTPN11， ADAR， PRKRA， LUC7L2， SRRM2， SLC2A1， SLC7A5， FANCM， and THAP1. CDK6， SOX9， and EGFR， genes previously implicated in chordoma biology， are also recovered. We find genomic and transcriptomic features that predict specific dependencies， including interferon-stimulated gene expression， which correlates with ADAR dependence and is elevated in chordoma. Validating the therapeutic relevance of dependencies， small-molecule inhibitors of SHP2， encoded by PTPN11， have potent preclinical efficacy against chordoma. Our results generate an emerging map of chordoma dependencies to enable biological and therapeutic hypotheses.
Molecular landscape， subtypes， and therapeutic vulnerabilities of central nervous system solitary fibrous tumors.,Nat Commun, 2025 Aug 23,40849425,https://pubmed.ncbi.nlm.nih.gov/40849425/,Solitary fibrous tumors (SFTs) of the central nervous system (CNS) are rare， aggressive mesenchymal neoplasms with high recurrence and metastasis rates. Here， we perform a comprehensive multi-omics analysis of 189 cases of CNS SFTs integrating 94 whole genome sequencing， 88 transcriptomics， 7 single-nucleus RNA sequencing and 3 spatial transcriptome sequencing. We find that receptor tyrosine kinase mutations are significantly more prevalent besides the widespread NAB2-STAT6 fusion and correlate with tumor grade. Transcriptomic analysis reveals four molecular subtypes-classical， neural-like， inflamed and migratory-each associated with distinct clinical and biological characteristics. Single-nucleus RNA sequencing identifies five tumor cell states， with the SFT_classical state serving as a precursor to other states influenced by hypoxia and inflammation. Notably， we identify FER kinase as a key therapeutic target， with FER inhibition significantly reducing tumor cell proliferation， migration and invasion. These findings provide important insights into CNS SFT biology and suggest potential therapeutic strategies for this challenging tumor type.
Characterization of transcriptome diversity and in vitro behavior of primary human high-risk breast cells.,Sci Rep, 2022 Apr 22,35459280,https://pubmed.ncbi.nlm.nih.gov/35459280/,Biology and transcriptomes of non-cancerous human mammary epithelial cells at risk for breast cancer development were explored following primary isolation utilizing conditional reprogramming cell technology from mastectomy tissue ipsilateral to invasive breast cancer. Cultures demonstrated consistent categorizable behaviors. Relative viability and mammosphere formation differed between samples but were stable across three different mammary-specific media. E2F cell cycle target genes expression levels were positively correlated with viability and advancing age was inversely associated. Estrogen growth response was associated with Tissue necrosis factor signaling and Interferon alpha response gene enrichment. Neoadjuvant chemotherapy exposure significantly altered transcriptomes， shifting them towards expression of genes linked to mammary stem cell formation. Breast cancer prognostic signature sets include genes that in normal development are limited to specific stages of pregnancy or the menstrual cycle. Sample transcriptomes were queried for stage specific gene expression patterns. All cancer samples and a portion of high-risk samples showed overlapping stages reflective of abnormal gene expression patterns， while other high-risk samples exhibited more stage specific patterns. In conclusion， at-risk cells preserve behavioral and transcriptome diversity that could reflect different risk profiles. It is possible that prognostic platforms analogous to those used for breast cancer could be developed for high-risk mammary cells.
Cannabinerol Prevents Endoplasmic Reticulum and Mitochondria Dysfunctions in an In Vitro Model of Alzheimer's Disease: A Network-Based Transcriptomic Analysis.,Cells, 2024 Jun 10,38920643,https://pubmed.ncbi.nlm.nih.gov/38920643/,Neurodegenerative disorders are affecting millions of people worldwide， impacting the healthcare system of our society. Among them， Alzheimer's disease (AD) is the most common form of dementia， characterized by severe cognitive impairments. Neuropathological hallmarks of AD are β-amyloid (Aβ) plaques and neurofibrillary tangles， as well as endoplasmic reticulum and mitochondria dysfunctions， which finally lead to apoptosis and neuronal loss. Since， to date， there is no definitive cure， new therapeutic and prevention strategies are of crucial importance. In this scenario， cannabinoids are deeply investigated as promising neuroprotective compounds for AD. In this study， we evaluated the potential neuroprotective role of cannabinerol (CBNR) in an in vitro cellular model of AD via next-generation sequencing. We observed that CBNR pretreatment counteracts the Aβ-induced loss of cell viability of differentiated SH-SY5Y cells. Moreover， a network-based transcriptomic analysis revealed that CBNR restores normal mitochondrial and endoplasmic reticulum functions in the AD model. Specifically， the most important genes regulated by CBNR are related mainly to oxidative phosphorylation (COX6B1，OXA1L，MT-CO2，MT-CO3)， protein folding (HSPA5) and degradation (CUL3，FBXW7，UBE2D1)， and glucose (G6PC3) and lipid (HSD17B7，ERG28，SCD) metabolism. Therefore， these results suggest that CBNR could be a new neuroprotective agent helpful in the prevention of AD dysfunctions.Keywords:Alzheimer’s disease; cannabinerol; endoplasmic reticulum; mitochondria; network analysis; phytocannabinoids; transcriptomic analysis.
